GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
OT_Project,default,Main,7,0,0,0,3,0,2,0,2,0
OT_Project,view,GUI,59,0,2,0,14,0,3,0,2,0
OT_Project,controller,BaseController,73,154,14,16,26,44,19,12,6,8
OT_Project,controller,UserController,0,104,0,4,0,30,0,12,0,10
OT_Project,controller,GuestController,0,88,0,4,0,27,0,10,0,8
OT_Project,controller,MatchController,22,102,2,4,5,27,2,10,1,8
OT_Project,dao,UserDao,37,143,1,5,9,37,1,12,0,10
OT_Project,dao,MatchDao,41,91,0,2,10,29,1,9,1,8
OT_Project,dao,GuestDao,22,107,0,4,6,29,0,10,0,8
OT_Project,util,SceneNames,3,0,0,0,1,0,1,0,1,0
OT_Project,util,CategoryFilter,3,18,0,0,1,4,1,1,1,1
OT_Project,util,MatchUtils,3,35,0,0,1,8,1,3,1,3
OT_Project,util,ProfilePictureUtil,19,76,1,1,3,11,2,3,1,3
OT_Project,service,GuestService,0,41,0,0,0,15,0,8,0,8
OT_Project,service,UserService,0,52,0,0,0,16,0,10,0,10
OT_Project,service,MatchService,5,41,0,0,1,15,1,8,1,8
OT_Project,datasource,MariaDbJpaConnection,3,17,1,3,1,7,2,3,1,2
OT_Project,controller.viewControllers,OptionsController,12,19,1,1,6,7,4,3,3,3
OT_Project,controller.viewControllers,AdminHomeController,9,118,3,5,3,30,3,11,0,10
OT_Project,controller.viewControllers,HelpController,0,18,0,0,0,4,0,2,0,2
OT_Project,controller.viewControllers,SessionController,31,210,8,12,12,48,10,12,2,10
OT_Project,controller.viewControllers,EditProfileController,36,91,2,2,13,23,5,5,3,5
OT_Project,controller.viewControllers,BeginSessionController,55,58,7,1,14,16,7,4,3,4
OT_Project,controller.viewControllers,ProfileController,46,71,3,1,11,16,3,3,1,3
OT_Project,controller.viewControllers,InterestSelectionController,97,288,28,14,26,72,20,16,1,14
OT_Project,controller.viewControllers,LoginController,3,67,1,5,1,20,2,7,1,5
OT_Project,controller.viewControllers,AfterMatchController,91,0,8,0,23,0,8,0,4,0
OT_Project,controller.viewControllers,RegistrationController,3,148,4,14,1,39,5,13,1,8
OT_Project,controller.viewControllers,PairItemController,3,74,4,4,1,20,4,6,0,6
OT_Project,controller.viewControllers,GuestViewController,0,58,0,4,0,15,0,6,0,4
OT_Project,controller.viewControllers,AdminProfileController,16,66,1,1,8,14,5,2,4,2
OT_Project,controller.viewControllers,AdminUsersController,9,176,4,12,3,50,4,14,0,10
OT_Project,controller.viewControllers,MatchViewController,116,0,6,0,33,0,9,0,6,0
OT_Project,controller.viewControllers,UserItemController,11,84,4,4,5,26,4,7,0,7
OT_Project,controller.viewControllers,WelcomeController,0,36,0,0,0,13,0,4,0,4
OT_Project,context,GUIContext,4,218,0,8,1,75,1,34,1,30
OT_Project,model,Matcher,5,233,2,24,1,62,3,17,1,6
OT_Project,model,Match,7,32,0,0,3,13,2,7,2,7
OT_Project,model,Session,0,70,0,2,0,23,0,12,0,11
OT_Project,model,User,7,44,0,0,3,17,2,9,2,9
OT_Project,model,Guest,0,8,0,0,0,3,0,2,0,2
OT_Project,model,Participant,14,150,0,0,6,46,4,20,4,20
OT_Project,model.categories,Animal,0,27,0,0,0,5,0,1,0,1
OT_Project,model.categories,Food,0,21,0,0,0,4,0,1,0,1
OT_Project,model.categories,Hobby,0,51,0,0,0,9,0,1,0,1
OT_Project,model.categories,Science,0,39,0,0,0,7,0,1,0,1
OT_Project,model.categories,Sports,0,39,0,0,0,7,0,1,0,1
